City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,new norfolk,-42.7826,147.0587,13.29,81,100,0.45,AU,1680206680
151,rincon,32.296,-81.2354,21.62,34,0,7.2,US,1680206680
152,castro,-24.7911,-50.0119,23.75,76,21,1.27,BR,1680206680
153,kavieng,-2.5744,150.7967,25.53,84,100,3.19,PG,1680206680
154,puerto ayora,-0.7393,-90.3518,30.98,93,68,3.58,EC,1680206680
155,port hawkesbury,45.6169,-61.3485,4.98,75,20,6.69,CA,1680206680
156,saint-philippe,-21.3585,55.7679,25.77,87,59,4.37,RE,1680206680
157,kapuskasing,49.4169,-82.4331,1.05,47,100,9.26,CA,1680206403
158,saint-michel-des-saints,46.6834,-73.9159,-4.81,80,100,5.37,CA,1680206457
159,norsup,-16.0667,167.3833,26.88,82,100,2.14,VU,1680206681
160,san andres,12.5847,-81.7006,31.01,55,20,7.2,CO,1680206681
161,pokhara,28.2333,83.9833,18.61,37,100,2.82,NP,1680206682
162,gunjur,13.2019,-16.7339,25.04,69,0,3.09,GM,1680206682
163,great yarmouth,52.6083,1.7305,12.45,91,45,6.69,GB,1680206682
164,kloulklubed,7.0419,134.2556,28.25,70,41,1.44,PW,1680206682
165,los llanos de aridane,28.6585,-17.9182,23.86,31,0,5.66,ES,1680206682
166,sandpoint,48.2766,-116.5533,9.45,47,40,2.57,US,1680206683
167,caravelas,-17.7125,-39.2481,26.95,69,0,3.57,BR,1680206639
168,cherskiy,68.75,161.3,-11.35,96,100,3.48,RU,1680206683
169,walvis bay,-22.9575,14.5053,15.53,82,0,1.03,NA,1680206683
170,marsa matruh,31.3525,27.2453,14.11,47,0,2.57,EG,1680206683
171,ossora,59.2353,163.0719,-14.37,90,18,1.71,RU,1680206683
172,tezu,27.9167,96.1667,17.22,58,32,2.0,IN,1680206683
173,uhlove,44.8215,33.6045,3.68,62,92,3.56,UA,1680206683
174,namibe,-15.1961,12.1522,23.34,80,100,2.92,AO,1680206684
175,mount gambier,-37.8333,140.7667,12.98,84,89,2.15,AU,1680206684
176,selenduma,50.9131,106.2406,4.31,50,81,0.32,RU,1680206684
177,cape coast,5.1053,-1.2466,27.38,80,94,5.05,GH,1680206684
178,nouadhibou,20.931,-17.0347,23.99,57,0,5.66,MR,1680206684
179,dingle,10.9995,122.6711,24.05,91,81,2.87,PH,1680206685
180,aklavik,68.2191,-135.0107,-14.0,66,0,4.12,CA,1680206685
181,bell ville,-32.6259,-62.6887,23.22,74,85,3.14,AR,1680206685
182,alofi,-19.0595,-169.9187,27.94,78,40,2.57,NU,1680206685
183,necochea,-38.5473,-58.7368,20.18,30,62,4.0,AR,1680206441
184,agno,45.9833,8.85,12.07,95,75,0.0,CH,1680206685
185,norman wells,65.282,-126.8329,-10.98,67,75,7.72,CA,1680206685
186,narsaq,60.9167,-46.05,1.12,74,0,0.52,GL,1680206685
187,arraial do cabo,-22.9661,-42.0278,30.98,74,0,5.14,BR,1680206685
188,joshimath,30.5667,79.5667,10.35,68,100,2.59,IN,1680206601
189,la libertad,-2.2333,-80.9,28.81,84,75,6.69,EC,1680206685
190,kiunga,-6.1219,141.2906,22.23,100,97,0.74,PG,1680206686
191,serov,59.6033,60.5787,-3.49,91,72,3.72,RU,1680206686
192,la palma,33.8464,-118.0467,15.8,63,75,5.14,US,1680206686
193,provideniya,64.3833,-173.3,-8.75,83,94,3.61,RU,1680206686
194,laguna,38.421,-121.4238,15.19,65,40,2.06,US,1680206686
195,sitka,57.0531,-135.33,3.6,69,100,1.7,US,1680206459
196,hambantota,6.1241,81.1185,25.64,84,7,1.68,LK,1680206686
197,kailua,21.4022,-157.7394,27.17,78,75,4.12,US,1680206686
198,broome,42.2506,-75.833,4.83,50,0,6.17,US,1680206687
199,sciacca,37.5082,13.0881,13.35,87,12,3.02,IT,1680206687
200,codrington,-38.2667,141.9667,13.84,74,100,3.94,AU,1680206687
201,bara,10.3744,10.7288,28.6,10,7,3.6,NG,1680206687
202,nanortalik,60.1432,-45.2371,-3.9,74,3,4.04,GL,1680206687
203,sao jose da coroa grande,-8.8978,-35.1478,26.77,74,4,2.62,BR,1680206687
204,maningrida,-12.0667,134.2667,24.32,92,54,3.55,AU,1680206687
205,guerrero negro,27.9769,-114.0611,16.96,48,10,7.68,MX,1680206687
206,victoria,22.2855,114.1577,21.35,91,100,3.58,HK,1680206687
207,cayenne,4.9333,-52.3333,27.02,83,75,3.6,GF,1680206687
208,high level,58.5169,-117.136,-2.94,59,100,6.17,CA,1680206688
209,rancho palos verdes,33.7445,-118.387,15.85,72,17,3.13,US,1680206688
210,san patricio,28.017,-97.5169,27.92,71,100,9.74,US,1680206688
211,sanchez,19.2281,-69.6137,31.01,66,20,6.17,DO,1680206688
212,spencer,43.1414,-95.1444,8.19,53,100,6.69,US,1680206688
213,prince rupert,54.3161,-130.3201,5.05,81,100,2.57,CA,1680206688
214,charters towers,-20.1,146.2667,23.74,71,31,2.93,AU,1680206688
215,kibray,41.3873,69.4641,13.29,59,8,2.45,UZ,1680206688
216,maamba,-17.3667,27.15,22.02,61,3,1.08,ZM,1680206688
217,gallup,35.5281,-108.7426,8.91,55,100,14.92,US,1680206558
218,paracatu,-17.2222,-46.8747,30.66,32,6,0.6,BR,1680206689
219,sumbe,-11.2061,13.8437,25.83,84,50,2.7,AO,1680206689
220,san quintin,30.4833,-115.95,15.13,57,6,7.27,MX,1680206689
221,ancud,-41.8697,-73.8203,11.69,62,74,0.99,CL,1680206689
222,bull savanna,17.8868,-77.5902,27.62,60,1,6.61,JM,1680206689
223,sehithwa,-20.4667,22.7167,26.63,37,96,3.51,BW,1680206689
224,longyearbyen,78.2186,15.6401,-6.09,79,75,4.12,SJ,1680206689
225,sambava,-14.2667,50.1667,26.46,84,99,4.53,MG,1680206689
226,port lincoln,-34.7333,135.8667,15.28,78,96,3.29,AU,1680206690
227,tura,25.5198,90.2201,18.69,80,16,1.58,IN,1680206690
228,rokytne,51.2796,27.214,3.64,91,96,2.63,UA,1680206690
229,college,64.8569,-147.8028,0.04,53,75,2.57,US,1680206691
230,catamarca,-28.4696,-65.7852,30.99,52,7,3.58,AR,1680206472
231,vila velha,-20.3297,-40.2925,30.53,70,0,7.72,BR,1680206470
232,abnub,27.2696,31.1511,16.12,30,0,9.44,EG,1680206691
233,goderich,43.7501,-81.7165,1.62,47,5,5.66,CA,1680206659
234,sangar,63.9242,127.4739,-6.76,85,100,5.0,RU,1680206612
235,plastun,44.7561,136.2939,2.29,59,0,2.68,RU,1680206691
236,basco,20.4487,121.9702,25.54,82,9,2.47,PH,1680206691
237,khatanga,71.9667,102.5,-26.95,97,95,3.65,RU,1680206691
238,bethel,41.3712,-73.414,7.19,31,0,3.6,US,1680206692
239,biak,-0.9131,122.8766,24.67,80,100,1.47,ID,1680206692
240,faya,18.3851,42.4509,16.06,69,5,2.96,SA,1680206692
241,teahupoo,-17.8333,-149.2667,26.98,75,76,2.37,PF,1680206692
242,pangai,-19.8,-174.35,27.06,83,20,3.09,TO,1680206692
243,wawa,9.9022,4.4192,32.32,27,64,1.65,NG,1680206693
244,mon,26.75,95.1,15.73,80,96,1.48,IN,1680206693
245,maumere,-8.6199,122.2111,26.24,80,98,0.98,ID,1680206693
246,akashi,34.6333,134.9833,11.02,66,100,1.19,JP,1680206693
247,panzhihua,26.5851,101.7128,13.65,47,3,0.86,CN,1680206693
248,cabatuan,10.8794,122.486,24.38,87,88,3.67,PH,1680206693
249,souillac,-20.5167,57.5167,26.37,85,94,5.73,MU,1680206694
250,yerbogachen,61.2767,108.0108,-20.97,96,100,1.62,RU,1680206694
251,athabasca,54.7169,-113.2854,-0.77,82,100,4.04,CA,1680206457
252,bozeman,45.6796,-111.0386,1.27,77,20,2.68,US,1680206500
253,pochutla,15.7432,-96.4661,33.79,46,21,4.67,MX,1680206694
254,tacoronte,28.4769,-16.4102,25.18,25,0,3.6,ES,1680206694
255,beringovskiy,63.05,179.3167,-14.71,94,52,2.59,RU,1680206694
256,shingu,33.7333,135.9833,11.23,63,100,1.57,JP,1680206694
257,lagunas,-5.2269,-75.6753,29.17,77,97,0.54,PE,1680206694
258,saint-denis,48.9167,2.3333,15.43,67,75,8.75,FR,1680206694
259,atasu,48.6814,71.6433,-1.24,63,0,7.31,KZ,1680206695
260,copiapo,-27.3667,-70.3333,20.83,39,0,3.8,CL,1680206695
261,bethanien,-26.502,17.1583,20.33,22,0,3.45,NA,1680206699
262,dicabisagan,17.0818,122.4157,24.48,89,100,1.07,PH,1680206699
263,karratha,-20.7377,116.8463,27.03,80,54,2.09,AU,1680206699
264,mar del plata,-38.0023,-57.5575,19.35,69,0,7.72,AR,1680206699
265,sur,22.5667,59.5289,24.85,53,0,3.31,OM,1680206699
266,key west,24.5557,-81.7826,27.78,76,75,5.66,US,1680206400
267,altamira,-3.2033,-52.2064,31.05,66,40,2.06,BR,1680206700
268,kruisfontein,-34.0033,24.7314,13.27,95,4,2.59,ZA,1680206700
269,sisimiut,66.9395,-53.6735,-11.52,75,0,3.2,GL,1680206700
270,scottsbluff,41.8666,-103.6672,19.32,38,1,2.24,US,1680206490
271,mastic beach,40.7668,-72.8521,8.08,31,0,6.17,US,1680206528
272,zapolyarnyy,69.4154,30.8136,-8.4,96,81,4.75,RU,1680206700
273,sassandra,4.95,-6.0833,26.09,85,95,2.91,CI,1680206700
274,barvinkove,48.9097,37.0205,2.13,85,100,7.99,UA,1680206700
275,hamilton,39.1834,-84.5333,17.1,38,2,4.02,US,1680206516
276,vila real,41.3006,-7.7441,13.4,76,72,3.68,PT,1680206645
277,pevek,69.7008,170.3133,-17.44,88,100,3.62,RU,1680206701
278,bilma,18.6853,12.9164,26.68,10,14,4.7,NE,1680206701
279,faridabad,28.4333,77.3167,19.14,52,100,1.3,IN,1680206701
280,santa isabel do rio negro,-0.4139,-65.0192,27.69,89,78,0.61,BR,1680206701
281,lompoc,34.6391,-120.4579,15.85,68,20,5.14,US,1680206701
282,roald,62.5833,6.1333,4.86,64,0,7.2,NO,1680206702
283,coari,-4.085,-63.1414,29.9,68,68,0.74,BR,1680206702
284,russell,32.3502,-85.1999,24.45,27,0,1.54,US,1680206415
285,bajil,15.0584,43.2851,29.8,57,93,2.62,YE,1680206702
286,port moresby,-9.4431,147.1797,23.68,100,20,1.54,PG,1680206703
287,prince albert,53.2001,-105.7677,-4.03,68,75,2.57,CA,1680206411
288,lira,2.235,32.9097,22.14,70,97,1.18,UG,1680206703
289,isangel,-19.55,169.2667,25.44,81,100,1.76,VU,1680206703
290,quesnel,52.9999,-122.5029,3.28,48,0,0.0,CA,1680206703
291,nyurba,63.2842,118.3319,-13.84,94,92,3.14,RU,1680206704
292,tomatlan,19.9333,-105.25,33.53,25,100,3.75,MX,1680206704
293,coquimbo,-29.9533,-71.3436,18.85,72,0,6.69,CL,1680206596
294,grants pass,42.439,-123.3284,12.1,61,100,0.0,US,1680206704
295,tutoia,-2.7619,-42.2744,26.82,85,83,4.59,BR,1680206704
296,inhambane,-23.865,35.3833,22.83,81,8,2.41,MZ,1680206704
297,nome,64.5011,-165.4064,-1.02,93,100,3.6,US,1680206679
298,paramonga,-10.6667,-77.8333,27.05,70,53,4.75,PE,1680206705
299,karla,59.3723,24.9275,-1.02,75,100,1.54,EE,1680206705
300,seoul,37.5683,126.9778,5.78,74,0,0.51,KR,1680206292
301,kamsack,51.5667,-101.9009,-2.54,86,94,2.41,CA,1680206706
302,oga,46.4631,10.347,5.94,88,100,1.62,IT,1680206706
303,nishihara,26.1842,127.7558,21.81,94,75,5.66,JP,1680206706
304,kahului,20.8947,-156.47,27.13,70,40,3.09,US,1680206707
305,talaya,61.3833,152.75,-11.47,83,92,3.63,RU,1680206707
306,makhinjauri,41.6739,41.694,3.92,93,75,2.06,GE,1680206707
307,huancabamba,-5.2386,-79.4506,19.27,84,92,1.01,PE,1680206707
308,ingleside,27.8778,-97.2117,28.0,100,40,7.72,US,1680206707
309,zanjan,36.6736,48.4787,10.21,51,0,4.17,IR,1680206708
310,priyutnoye,46.1011,43.5072,1.24,74,9,3.88,RU,1680206708
311,amapa,1.0,-52.0,27.08,82,64,1.63,BR,1680206708
312,oksfjord,70.2396,22.3479,1.1,99,100,7.42,NO,1680206708
313,hudson bay,52.85,-102.3842,-3.75,69,83,2.23,CA,1680206708
314,cay,38.5917,31.0286,-4.62,72,7,2.65,TR,1680206708
315,havre-saint-pierre,50.2334,-63.5986,1.2,80,100,6.69,CA,1680206709
316,lagoa,39.05,-27.9833,14.62,80,100,5.09,PT,1680206709
317,kaitangata,-46.2817,169.8464,9.96,91,100,1.08,NZ,1680206709
318,altay,47.8667,88.1167,0.85,92,62,2.49,CN,1680206709
319,rosetta,31.4044,30.4164,13.48,54,13,6.68,EG,1680206709
320,san jose,37.3394,-121.895,14.92,59,75,3.6,US,1680206227
321,katsuura,35.1333,140.3,14.31,80,100,3.65,JP,1680206709
322,porkhov,57.765,29.5561,-0.73,94,93,2.67,RU,1680206710
323,oriximina,-1.7656,-55.8661,24.93,94,100,1.7,BR,1680206710
324,evensk,61.95,159.2333,-14.89,95,100,2.33,RU,1680206710
325,pemangkat,1.1667,108.9667,25.6,86,98,1.79,ID,1680206710
326,saryagash,41.4511,69.1701,13.98,59,36,2.32,KZ,1680206710
327,marovoay,-16.1,46.6333,24.63,92,100,2.2,MG,1680206711
